订单号,聚类种类,食品区,饮料区,日用品区,电器区,礼品区,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,产生时刻
25,类别4,787,564,421,90,181,79,84,69,91,80,79,69,67,81,88,44,64,64,49,60,53,47,67,52,64,38,42,52,41,45,42,40,40,47,34,11,11,5,13,6,11,4,12,9,8,19,23,11,18,19,20,16,18,24,13,1030
26,类别4,795,596,405,95,206,92,75,93,78,72,76,85,80,72,72,58,59,62,53,69,62,57,56,56,64,31,39,38,42,45,35,50,35,54,36,5,10,8,12,9,10,9,13,6,13,21,22,18,16,23,21,20,20,26,19,1031
27,类别4,819,554,404,105,183,71,89,88,74,90,80,81,70,84,92,58,55,56,76,56,60,40,48,48,57,46,47,39,36,39,35,37,44,34,47,10,8,13,10,11,10,15,10,8,10,17,22,12,17,18,17,18,16,21,25,1033
33,类别4,771,567,434,81,186,81,60,81,69,79,84,75,73,71,98,60,48,47,56,52,62,58,66,55,63,36,56,42,34,57,41,54,39,35,40,8,6,6,8,9,6,8,11,10,9,18,25,23,19,17,25,11,13,21,14,1149
34,类别4,786,574,384,79,181,76,76,85,89,80,66,74,84,64,92,60,64,59,56,57,59,61,49,52,57,39,37,35,42,37,42,36,47,38,31,7,9,9,12,6,9,3,9,8,7,15,19,22,19,20,10,19,22,14,21,1201
36,类别4,785,575,380,88,191,75,77,90,73,69,82,81,79,79,80,58,47,63,60,51,73,50,64,61,48,45,41,35,38,30,35,33,39,36,48,8,6,12,7,12,10,10,11,4,8,16,18,15,20,19,21,20,24,20,18,1212
43,类别4,785,592,419,112,213,78,88,87,88,79,70,69,72,74,80,55,66,75,70,52,58,40,59,52,65,45,56,32,42,43,45,26,50,30,50,11,6,9,10,9,18,10,10,18,11,22,33,21,13,21,27,23,24,13,16,1582
46,类别4,789,595,408,75,178,85,80,82,94,76,76,63,83,71,79,49,55,63,68,54,55,59,72,64,56,39,40,44,43,35,44,43,44,35,41,6,9,7,8,8,10,6,6,7,8,24,12,22,21,16,18,19,14,13,19,1724
47,类别4,811,561,414,99,190,84,72,89,85,81,74,91,73,89,73,59,53,62,54,52,46,69,59,42,65,37,32,42,47,45,42,47,39,37,46,10,10,15,13,7,12,9,6,9,8,21,15,17,24,17,22,23,18,15,18,1731
50,类别4,807,582,382,103,186,78,79,80,87,90,99,71,68,72,83,66,69,66,49,42,58,60,52,55,65,34,34,33,38,41,38,31,44,43,46,6,11,9,9,11,12,9,13,15,8,20,20,22,15,17,21,16,19,16,20,1802
58,类别4,791,572,373,79,214,83,76,92,75,92,83,62,70,73,85,53,59,60,59,53,55,71,54,50,58,34,40,42,46,28,36,42,40,32,33,11,6,6,8,10,7,8,10,9,4,29,24,24,19,24,17,23,14,22,18,2140
71,类别4,788,593,365,102,187,75,93,77,82,75,88,90,70,70,68,68,76,50,55,60,64,44,58,66,52,39,44,39,42,41,32,37,32,25,34,17,8,10,10,10,12,13,11,8,3,15,34,17,13,19,16,16,27,14,16,2354
72,类别4,788,598,396,101,210,73,88,88,76,76,80,82,73,81,71,59,61,51,49,63,65,54,60,78,58,32,37,40,33,40,38,48,45,42,41,10,9,8,9,6,8,12,14,17,8,19,26,23,17,25,18,25,27,16,14,2382
81,类别4,794,566,425,87,202,96,84,68,75,71,70,91,90,81,68,57,56,60,66,61,58,51,53,46,58,38,39,43,43,38,53,50,37,53,31,11,9,11,8,12,9,4,3,9,11,13,24,23,23,13,27,18,18,24,19,2702
84,类别4,793,563,416,94,181,64,88,100,91,83,74,78,72,73,70,58,59,57,59,53,53,54,56,57,57,50,38,37,45,34,41,52,45,40,34,12,11,10,8,10,6,5,7,19,6,22,20,22,22,16,13,18,15,15,18,2763
86,类别4,821,568,367,101,196,94,80,73,84,89,84,88,76,66,87,73,63,50,53,54,51,53,60,57,54,23,47,48,38,34,31,25,46,38,37,9,12,11,9,10,17,6,7,12,8,26,10,21,19,18,23,23,18,18,20,2784
100,类别4,793,578,379,113,211,82,82,76,75,72,74,89,82,79,82,59,55,64,57,61,67,43,36,68,68,35,46,37,28,38,41,30,48,38,38,9,11,16,12,14,7,10,16,8,10,20,14,16,23,16,20,29,23,20,30,3176
103,类别4,781,561,410,95,219,81,80,77,89,73,73,84,70,64,90,60,46,70,43,73,57,56,58,34,64,48,46,46,41,28,34,50,33,44,40,12,11,5,13,8,11,7,15,8,5,19,18,27,17,31,18,19,17,32,21,3319
106,类别4,804,585,412,100,235,75,68,84,80,89,75,97,78,81,77,50,53,62,46,68,76,52,55,69,54,45,42,41,50,34,46,33,34,46,41,4,20,8,11,10,8,11,7,9,12,23,30,17,23,14,29,30,15,27,27,3425
113,类别4,806,594,389,105,210,75,93,87,84,79,72,69,64,83,100,71,65,71,52,50,65,55,60,51,54,36,46,40,39,46,35,33,40,37,37,9,13,8,15,13,11,8,11,10,7,20,22,15,21,20,28,18,23,21,22,3537
116,类别4,793,601,399,101,193,84,79,96,72,82,83,78,75,72,72,55,78,60,44,74,54,55,59,57,65,38,51,41,36,42,35,41,28,39,48,12,8,11,15,9,11,10,6,14,5,19,26,21,23,19,19,16,18,13,19,3553
117,类别4,809,599,389,97,191,84,82,89,76,79,85,80,73,69,92,60,64,55,58,68,54,51,56,72,61,46,32,41,44,38,41,30,40,40,37,14,6,7,8,10,11,7,13,12,9,20,28,16,15,20,23,23,14,13,19,3600
121,类别4,796,580,405,111,189,65,87,73,82,83,100,73,80,84,69,50,54,64,57,70,56,51,63,62,53,42,47,50,44,40,46,29,38,35,34,9,11,15,17,10,11,9,8,6,15,21,24,27,15,18,13,20,15,15,21,3766
123,类别4,791,582,415,85,229,100,65,83,74,74,78,83,93,73,68,55,61,61,47,56,56,70,63,51,62,35,34,50,48,38,46,40,38,41,45,9,7,10,7,9,11,9,10,5,8,15,22,22,29,22,30,27,19,19,24,3851
124,类别4,794,599,385,102,209,74,70,76,78,71,78,96,80,90,81,51,56,44,58,66,65,68,48,66,77,42,30,46,45,43,34,43,29,40,33,11,15,5,9,15,8,9,8,10,12,25,19,20,20,19,20,27,16,25,18,3860
125,类别4,797,586,416,105,193,68,71,77,84,68,76,79,99,88,87,54,52,64,71,47,55,69,54,70,50,45,31,46,42,42,45,34,53,39,39,14,10,7,9,12,8,12,9,14,10,23,22,17,15,16,14,15,24,22,25,3877
126,类别4,814,596,358,86,215,69,88,92,77,91,93,88,73,68,75,67,57,57,61,58,59,59,57,60,61,41,47,27,39,39,39,34,23,33,36,10,10,16,6,9,7,11,11,4,2,26,21,19,16,20,28,21,23,22,19,3889
127,类别4,796,602,397,86,212,89,73,66,71,82,67,93,83,90,82,56,63,62,77,43,45,68,64,58,66,47,30,49,37,37,38,36,38,50,35,11,6,12,6,9,9,6,13,7,7,22,18,22,14,27,22,23,20,19,25,3906
129,类别4,783,589,392,98,194,85,78,82,68,86,71,77,85,80,71,58,71,62,72,61,60,46,50,57,52,33,33,41,34,46,37,36,53,52,27,14,10,9,9,13,6,11,7,13,6,25,23,16,20,20,21,16,30,16,7,3932
131,类别4,773,575,377,101,179,86,67,70,74,84,68,83,84,67,90,56,59,63,49,64,58,51,61,58,56,41,32,34,32,47,36,46,39,41,29,9,14,13,6,14,6,8,6,11,14,20,12,10,17,20,22,24,17,15,22,3978
138,类别4,788,591,388,97,173,72,81,92,79,100,73,62,66,91,72,49,63,66,56,52,54,63,63,61,64,44,40,36,41,40,44,35,48,24,36,13,10,8,10,9,12,8,9,9,9,14,16,22,15,21,17,20,24,11,13,4151
140,类别4,804,576,404,117,197,80,66,84,89,87,78,84,87,86,63,55,49,56,57,79,66,54,58,54,48,40,42,36,37,46,41,36,56,32,38,15,13,9,11,5,6,16,16,15,11,18,20,32,17,16,13,23,18,22,18,4194
142,类别4,792,579,382,97,222,93,97,62,82,80,65,75,82,71,85,51,47,68,56,50,67,56,59,53,72,45,47,37,32,44,28,47,35,28,39,8,8,16,12,13,12,11,3,8,6,20,28,12,18,25,26,17,21,23,32,4247
143,类别4,810,589,422,98,189,79,70,90,75,75,79,85,79,90,88,69,52,45,56,55,60,58,58,71,65,43,39,38,34,46,41,40,53,41,47,8,8,14,15,10,9,7,11,12,4,18,17,20,16,21,35,13,14,18,17,4314
146,类别4,796,600,430,104,207,78,82,83,89,82,71,76,72,80,83,54,53,57,74,62,54,61,71,56,58,49,52,42,42,33,51,50,39,32,40,7,14,13,9,8,11,10,12,11,9,21,19,24,15,23,18,29,21,21,16,4352
147,类别4,790,580,433,115,209,83,86,77,77,69,81,89,69,75,84,57,56,45,74,63,57,44,59,57,68,49,41,40,40,34,43,38,54,48,46,9,15,9,12,14,14,9,8,11,14,18,22,29,28,22,13,22,22,18,15,4357
150,类别4,799,584,388,101,198,75,82,82,80,73,70,89,98,73,77,44,59,57,57,55,57,69,62,66,58,38,34,44,38,41,42,41,50,37,23,13,6,9,10,14,4,12,10,8,15,25,23,21,14,23,19,20,14,16,23,4424
151,类别4,808,566,391,114,199,65,78,90,69,83,93,93,84,70,83,70,61,49,51,51,52,52,68,52,60,30,35,36,44,40,38,41,37,40,50,9,14,15,11,12,10,10,8,11,14,19,23,28,21,23,9,27,18,17,14,4467
154,类别4,831,561,383,105,191,87,82,80,90,79,77,88,90,72,86,65,58,49,56,49,52,59,63,46,64,31,44,31,34,45,38,28,43,45,44,13,20,14,5,6,10,10,9,10,8,16,21,12,24,23,20,21,21,13,20,4560
165,类别4,813,590,400,88,195,66,90,86,84,96,71,76,89,81,74,62,48,62,57,65,54,47,68,59,68,42,47,38,37,43,40,45,27,32,49,9,9,7,9,10,6,13,12,4,9,23,18,19,21,22,24,18,25,12,13,5120
166,类别4,768,543,379,107,203,83,60,76,94,88,67,75,68,80,77,68,72,42,49,59,50,45,50,56,52,40,30,40,46,39,34,35,37,41,37,7,11,12,9,10,14,10,13,14,7,18,20,27,16,25,24,20,20,20,13,5163
168,类别4,812,579,405,95,214,96,76,81,94,77,71,89,82,65,81,61,54,49,50,53,72,63,63,56,58,44,50,35,44,35,41,31,42,36,47,6,9,11,8,9,8,11,10,12,11,25,25,26,20,24,19,14,16,15,30,5215
172,类别4,787,597,379,105,218,89,70,83,75,72,91,75,72,77,83,57,68,65,69,42,71,50,59,66,50,31,43,47,35,40,39,29,37,45,33,10,9,15,13,12,6,10,10,11,9,19,21,23,35,17,26,18,22,23,14,5300
173,类别4,797,583,401,77,180,61,86,96,78,74,79,77,73,100,73,53,58,60,60,57,66,58,68,47,56,35,47,37,35,39,35,46,39,44,44,9,5,6,11,11,5,10,9,8,3,17,13,16,16,20,17,25,15,15,26,5300
177,类别4,814,579,398,81,222,84,75,69,82,94,93,71,82,97,67,69,65,62,59,49,55,63,58,49,50,49,34,38,47,42,49,38,31,40,30,9,10,8,8,3,12,8,7,9,7,21,22,23,30,22,17,18,25,18,26,5336
180,类别4,809,586,387,117,217,84,74,75,83,75,76,98,64,82,98,67,59,57,53,62,59,42,57,67,63,42,38,56,38,37,38,37,37,32,32,23,15,7,12,4,10,12,12,12,10,19,21,24,22,22,17,25,21,23,23,5452
188,类别4,794,591,400,87,180,76,80,81,83,79,77,64,90,79,85,61,62,44,67,67,46,74,44,67,59,45,42,33,32,30,59,32,29,54,44,8,10,6,5,10,4,15,11,8,10,23,13,19,17,15,19,21,22,15,16,5801
190,类别4,816,577,366,90,192,80,96,86,90,69,90,73,70,84,78,56,72,71,53,49,60,52,50,62,52,40,46,36,47,41,23,33,35,30,35,6,9,9,12,4,8,14,8,9,11,19,24,13,16,24,22,26,16,16,16,5841
196,类别4,810,573,401,85,192,75,90,82,81,77,83,71,75,93,83,72,64,54,56,53,60,59,50,51,54,45,36,31,38,35,40,39,45,44,48,12,9,5,7,9,10,6,6,10,11,13,20,23,17,22,20,18,22,26,11,6018
197,类别4,832,554,387,103,195,70,93,74,90,96,87,84,73,77,88,65,54,58,58,63,51,56,51,46,52,52,37,39,36,38,36,42,37,34,36,10,5,12,13,11,12,9,7,17,7,20,19,23,25,15,26,16,22,16,13,6025
199,类别4,783,575,395,96,194,99,81,72,79,81,62,87,75,69,78,48,50,53,61,61,57,67,64,65,49,43,42,46,31,36,45,32,38,43,39,6,10,7,14,10,10,7,10,9,13,21,23,20,17,13,14,23,20,22,21,6079
203,类别4,807,591,378,101,190,88,80,77,79,87,74,91,78,69,84,59,51,52,65,72,55,64,55,56,62,38,35,37,33,36,33,47,48,37,34,13,7,7,13,14,11,8,13,3,12,18,8,22,20,13,17,22,25,19,26,6197
206,类别4,810,560,398,117,207,88,74,73,73,89,70,88,81,92,82,51,66,51,68,54,50,47,61,55,57,49,42,32,48,46,42,35,44,28,32,10,13,18,14,12,15,9,14,6,6,27,29,22,21,18,22,20,22,15,11,6265
210,类别4,797,590,392,87,193,77,83,78,77,88,76,80,81,79,78,52,74,64,60,46,50,66,63,55,60,36,43,35,32,47,37,30,47,38,47,14,6,9,7,9,8,9,9,6,10,17,21,20,15,21,22,12,13,20,32,6379
211,类别4,784,583,429,115,222,68,73,75,88,90,64,78,70,81,97,63,58,48,58,62,62,61,46,67,58,39,47,35,48,37,39,37,42,51,54,6,10,10,15,10,16,15,6,14,13,16,22,26,21,22,23,29,22,17,24,6501
214,类别4,813,576,391,99,224,76,83,89,76,88,82,77,87,86,69,60,56,55,68,70,51,55,59,49,53,38,45,45,40,34,33,35,33,39,49,13,10,12,9,13,10,6,9,8,9,19,19,26,28,21,31,19,27,13,21,6580
215,类别4,791,600,384,93,213,73,62,99,71,72,87,57,97,84,89,55,64,65,63,59,63,67,60,52,52,38,38,30,38,32,42,38,40,46,42,9,4,11,17,9,11,7,9,6,10,23,20,16,13,29,22,25,19,16,30,6592
224,类别4,781,585,400,103,239,81,74,70,88,78,82,84,70,69,85,48,58,61,55,49,71,56,55,69,63,39,38,49,36,42,46,36,41,33,40,8,7,12,5,11,13,11,12,16,8,19,26,27,21,24,17,22,33,22,28,6879
228,类别4,808,596,378,88,201,92,94,78,93,75,64,77,92,83,60,54,78,59,72,57,52,57,52,57,58,42,38,39,48,40,33,31,32,42,33,8,13,4,10,5,15,10,7,9,7,20,21,19,9,23,22,25,18,22,22,7055
231,类别4,819,566,380,81,215,83,88,81,100,69,74,75,85,76,88,60,45,67,61,62,60,53,63,47,48,43,46,43,36,41,26,32,39,34,40,9,9,8,8,5,6,11,5,6,14,12,17,21,30,18,27,20,19,30,21,7132
232,类别4,794,563,393,101,202,71,74,93,82,80,71,94,64,74,91,62,67,58,61,48,50,43,48,67,59,36,40,47,45,40,41,37,37,40,30,11,8,12,10,11,6,14,9,10,10,25,24,15,20,21,18,17,13,26,23,7143
234,类别4,772,554,419,108,176,75,89,68,79,79,70,68,71,85,88,55,65,65,67,46,55,56,50,48,47,44,32,43,42,47,49,38,36,45,43,8,9,15,16,11,8,9,11,13,8,15,15,23,16,15,30,17,18,20,7,7198
236,类别4,809,601,380,105,212,88,83,63,83,75,100,68,89,80,80,64,73,49,53,67,69,52,57,59,58,47,52,45,36,39,32,29,37,27,36,14,12,13,10,11,10,15,8,7,5,20,19,25,23,17,19,15,23,26,25,7212
237,类别4,777,566,355,86,224,75,92,66,71,96,73,79,81,78,66,57,44,70,62,54,60,66,53,47,53,29,38,44,33,37,36,44,30,36,28,6,8,19,8,7,8,12,7,4,7,16,27,20,21,20,25,24,28,20,23,7237
243,类别4,831,564,412,90,191,82,78,83,95,81,94,85,71,88,74,64,51,52,45,63,55,58,52,63,61,29,42,37,57,38,40,48,27,42,52,9,4,9,10,10,13,11,5,11,8,13,12,24,21,21,25,21,23,14,17,7352
248,类别4,827,549,381,117,197,68,89,81,79,96,71,82,90,91,80,50,55,44,51,68,57,52,58,55,59,36,37,30,44,40,39,27,43,40,45,10,13,8,12,10,14,13,12,10,15,23,20,18,16,17,15,18,15,26,29,7525
249,类别4,810,601,381,103,202,81,63,86,88,75,73,94,70,83,97,75,70,55,55,69,49,60,65,61,42,41,40,29,53,35,39,44,33,31,36,10,5,9,6,16,5,17,16,10,9,16,19,23,27,19,23,18,20,17,20,7530
252,类别4,803,562,383,118,198,87,80,71,95,86,68,85,70,68,93,55,47,52,47,61,61,55,63,52,69,42,44,32,43,35,44,37,35,32,39,9,7,10,10,17,22,8,15,11,9,18,24,23,15,21,24,22,15,16,20,7557
253,类别4,798,592,389,89,185,84,67,68,86,87,58,78,88,87,95,60,49,62,57,63,55,61,81,52,52,38,42,35,34,45,37,24,36,56,42,15,7,10,5,7,11,3,6,9,16,23,15,15,22,19,16,20,22,16,17,7561
256,类别4,806,598,402,109,206,88,72,94,74,80,79,76,78,85,80,73,68,56,52,55,65,51,65,55,58,45,38,33,32,33,48,42,45,42,44,17,8,7,12,10,9,11,8,12,15,26,29,11,28,21,22,19,15,18,17,7760
259,类别4,805,592,407,88,194,81,74,92,70,91,76,87,81,73,80,50,56,56,50,63,63,79,50,61,64,34,36,32,37,51,56,37,42,48,34,14,8,13,8,6,8,12,7,6,6,14,24,19,24,28,24,19,11,15,16,7822
260,类别4,781,561,407,94,196,80,69,75,68,87,83,81,71,77,90,56,60,57,42,54,55,51,63,52,71,44,39,34,49,50,24,44,41,36,46,9,6,3,12,7,14,10,10,7,16,18,18,25,27,26,10,15,21,22,14,7838
261,类别4,813,579,393,101,201,98,89,72,91,59,88,86,74,80,76,63,74,50,53,56,59,61,51,52,60,40,35,26,43,48,30,46,44,40,41,10,9,12,10,13,6,8,13,5,15,18,23,24,19,22,22,21,15,23,14,7856
264,类别4,796,586,391,125,216,78,70,77,76,73,91,95,82,75,79,61,61,51,51,51,58,58,71,71,53,40,49,37,39,42,31,46,39,33,35,10,17,8,11,11,15,12,17,13,11,21,25,19,28,26,14,22,17,25,19,7908
269,类别4,793,552,401,121,196,100,88,80,79,81,66,76,83,75,65,49,58,45,48,65,57,57,57,57,59,44,42,40,43,46,39,36,33,36,42,8,9,16,10,11,11,17,19,7,13,27,19,21,17,15,13,26,21,12,25,8083
273,类别4,815,564,429,102,203,86,72,71,90,72,94,80,91,79,80,58,48,50,53,59,59,58,69,52,58,41,37,48,46,50,37,45,40,48,37,13,6,6,12,9,10,8,11,15,12,20,17,22,24,20,19,21,17,14,29,8190
281,类别4,793,571,417,96,190,84,94,81,73,77,76,77,74,83,74,53,73,52,53,52,45,55,58,69,61,47,47,28,40,43,40,42,40,49,41,14,14,8,10,6,7,11,9,8,9,25,21,11,10,19,26,27,15,21,15,8552
282,类别4,792,574,409,94,232,88,83,69,78,79,80,61,92,80,82,70,65,52,57,45,53,58,50,57,67,35,53,35,30,47,36,46,49,45,33,7,11,9,9,10,13,2,14,10,9,21,22,28,25,25,16,28,25,22,20,8574
285,类别4,799,589,393,116,200,74,86,77,72,71,76,84,87,79,93,50,55,63,67,47,51,69,52,70,65,42,34,29,40,42,38,42,45,35,46,11,22,13,19,6,11,4,13,7,10,19,19,22,17,17,23,21,25,22,15,8711
295,类别4,771,553,421,104,211,66,87,78,86,66,82,69,83,75,79,49,65,54,47,48,59,46,66,51,68,34,33,55,45,51,51,29,49,36,38,9,10,8,16,8,11,8,13,12,9,24,23,20,19,19,21,14,25,27,19,9089
296,类别4,810,595,451,108,200,63,100,79,87,73,74,84,81,81,88,63,60,57,61,53,70,63,55,50,63,49,41,55,36,42,50,48,35,39,56,11,10,9,13,12,9,5,9,15,15,19,25,20,15,17,23,21,13,22,25,9095
302,类别4,783,586,375,92,194,91,73,79,87,79,66,90,73,81,64,62,55,61,57,71,62,55,68,42,53,32,39,33,41,35,37,41,40,33,44,9,6,6,11,10,6,11,10,11,12,16,18,14,20,31,26,11,25,16,17,9270
309,类别4,762,559,380,86,174,74,57,80,82,80,79,84,77,77,72,60,59,53,60,51,64,47,51,52,62,29,32,34,38,44,36,48,47,45,27,8,11,11,10,6,6,9,7,11,7,18,14,16,14,24,15,21,15,19,18,9468
311,类别4,819,571,390,93,202,72,84,90,80,95,73,76,96,62,91,54,54,67,56,60,56,54,56,56,58,42,48,32,29,31,43,39,45,39,42,8,11,5,10,7,7,11,8,11,15,23,23,12,16,21,27,21,22,21,16,9538
318,类别4,806,596,415,84,203,90,94,80,78,82,79,85,82,71,65,65,57,69,56,54,63,57,62,58,55,43,43,39,31,41,37,50,47,47,37,7,7,12,9,5,10,11,5,11,7,17,18,23,25,15,18,26,25,15,21,9735
322,类别4,783,522,362,94,220,68,78,76,67,91,87,77,91,76,72,68,53,45,37,58,37,55,57,52,60,43,35,44,37,42,36,28,34,32,31,12,15,3,9,6,13,12,7,8,9,25,23,25,13,32,19,15,20,22,26,9910
323,类别4,810,587,392,111,191,73,91,76,77,82,78,69,82,99,83,50,56,61,70,53,57,63,60,49,68,44,45,40,51,34,37,45,33,36,27,6,9,15,12,10,12,14,8,18,7,24,14,27,14,20,23,20,19,19,11,9952
327,类别4,824,525,379,96,200,69,95,81,72,82,66,100,84,84,91,61,49,50,48,53,56,46,47,56,59,34,46,41,39,30,36,33,43,39,38,18,7,2,9,11,5,9,11,15,9,14,22,22,20,27,18,20,14,17,26,10003
328,类别4,797,590,386,84,180,76,77,77,92,88,54,70,91,91,81,57,70,69,70,52,44,65,49,58,56,48,32,50,40,46,34,36,28,34,38,13,11,4,8,13,4,12,8,7,4,21,19,16,16,16,23,21,19,15,14,10015
332,类别4,816,576,407,99,174,67,96,93,70,90,72,74,83,76,95,52,63,58,57,49,55,55,63,61,63,39,37,50,48,37,52,44,36,35,29,13,13,6,7,10,11,9,10,7,13,17,17,19,21,11,19,21,15,19,15,10176
336,类别4,788,580,396,127,212,91,70,79,72,69,83,94,68,70,92,52,48,66,63,74,62,59,61,54,41,39,37,41,47,47,45,33,29,39,39,11,16,16,13,12,12,10,16,9,12,10,19,32,19,29,28,18,15,21,21,10235
342,类别4,811,571,429,103,202,84,71,75,86,93,86,70,80,83,83,69,49,54,62,58,61,57,57,49,55,45,35,46,49,35,43,47,44,48,37,7,9,12,13,9,14,9,7,10,13,12,17,24,17,21,29,20,21,18,23,10445
348,类别4,788,589,385,110,186,62,86,77,73,88,81,85,75,89,72,60,57,69,63,53,68,62,45,50,62,55,37,41,31,30,32,37,38,47,37,8,14,12,11,11,7,17,16,7,7,21,21,22,15,18,18,12,27,16,16,10693
350,类别4,781,564,436,81,191,64,77,92,80,64,94,87,79,74,70,53,65,48,54,54,59,54,62,54,61,45,42,42,41,45,30,57,51,41,42,10,10,6,12,4,11,7,6,6,9,14,17,21,17,14,23,27,13,27,18,10853
355,类别4,805,601,381,101,191,90,76,89,79,61,87,84,73,89,77,56,66,68,59,57,52,65,57,57,64,44,29,46,37,62,29,35,31,33,35,10,11,12,8,10,8,7,11,14,10,14,17,20,21,24,18,18,19,14,26,11003
358,类别4,810,576,374,95,196,74,88,88,84,92,68,90,66,73,87,50,64,57,50,55,71,61,59,51,58,40,44,34,39,43,35,38,29,35,37,15,9,8,10,5,9,11,13,7,8,17,14,23,20,15,26,24,17,17,23,11099
359,类别4,792,584,409,108,189,71,77,85,78,80,78,84,85,67,87,68,55,59,50,59,67,50,55,58,63,48,37,37,43,36,47,40,46,38,37,11,10,14,10,13,10,14,11,7,8,16,21,17,22,19,14,17,22,20,21,11172
360,类别4,819,581,434,92,202,80,75,78,95,80,68,92,85,80,86,54,77,59,57,50,52,56,55,58,63,42,55,49,39,40,35,38,45,43,48,8,10,12,10,7,5,11,12,12,5,25,16,18,20,18,26,12,16,27,24,11225
363,类别4,812,568,384,91,188,82,77,78,84,66,80,84,84,99,78,56,53,62,66,44,60,55,56,44,72,40,36,44,34,32,38,51,39,39,31,7,10,10,8,4,12,11,9,13,7,20,15,19,15,19,16,19,17,24,24,11273
367,类别4,814,559,409,107,236,66,87,93,86,74,71,88,76,73,100,57,57,52,58,61,54,58,51,61,50,34,44,46,39,38,52,39,36,39,42,15,6,11,9,12,11,12,11,9,11,23,19,32,27,24,32,20,23,21,15,11394
373,类别4,786,587,379,95,219,63,84,84,83,62,74,83,84,77,92,58,61,48,69,70,60,70,45,51,55,33,41,37,40,35,36,39,36,42,40,8,9,11,10,9,11,10,11,9,7,17,24,21,23,18,22,26,16,29,23,11714
374,类别4,778,576,371,90,203,85,69,93,81,73,66,73,73,78,87,58,53,52,67,44,66,55,58,64,59,42,29,45,36,29,36,39,38,36,41,7,9,11,9,7,9,11,9,6,12,15,16,23,17,23,29,19,19,23,19,11752
377,类别4,788,570,419,100,217,71,83,74,71,98,75,75,87,87,67,58,66,62,53,53,47,55,61,62,53,33,47,49,42,43,45,37,37,53,33,14,6,8,8,5,9,9,9,18,14,26,23,22,23,20,24,23,15,15,26,11848
379,类别4,815,574,413,104,170,80,82,80,90,77,82,80,98,73,73,42,64,53,61,44,67,57,58,65,63,38,46,41,39,49,43,41,37,42,37,12,4,11,13,13,13,9,8,10,11,14,16,15,23,22,13,19,19,19,10,11867
382,类别4,818,578,384,105,183,77,81,87,81,73,84,92,90,77,76,70,56,48,58,66,54,57,61,54,54,28,29,40,36,39,52,34,43,45,38,15,7,10,7,12,8,10,16,8,12,18,25,13,19,20,15,15,22,19,17,11929
