订单号,聚类种类,食品区,饮料区,日用品区,电器区,礼品区,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,产生时刻
226,类别1,743,594,364,101,196,68,70,79,69,68,80,85,76,86,62,73,52,73,62,42,59,55,64,54,60,45,34,32,36,47,43,29,35,31,32,6,13,9,9,14,11,13,9,9,8,20,16,14,21,22,15,20,19,23,26,6994
227,类别1,771,600,392,102,211,64,85,83,82,86,79,70,74,74,74,56,58,51,59,48,76,72,60,52,68,53,38,37,32,37,33,41,48,32,41,6,11,11,7,13,13,9,10,12,10,23,19,18,26,23,18,16,23,25,20,6998
235,类别1,760,605,377,84,228,91,69,73,70,74,80,71,60,94,78,66,62,61,49,57,56,61,67,64,62,35,36,38,40,41,27,45,31,39,45,8,12,6,2,7,8,10,10,11,10,22,14,28,20,24,21,22,17,27,33,7201
238,类别1,786,608,399,102,215,87,72,71,77,78,88,77,85,73,78,57,58,69,67,54,56,56,57,63,71,37,31,48,43,44,44,33,49,34,36,11,11,12,8,14,12,6,9,11,8,21,25,19,33,17,23,9,22,24,22,7269
239,类别1,754,582,414,99,202,86,67,70,64,65,86,75,92,72,77,52,56,61,59,58,59,48,66,60,63,34,35,46,43,45,39,38,53,40,41,6,6,15,11,7,10,11,13,8,12,17,23,18,17,22,20,25,22,25,13,7291
241,类别1,773,590,401,112,191,86,77,76,70,92,72,80,73,74,73,64,59,64,54,60,58,56,60,65,50,36,42,35,52,41,41,40,40,34,40,18,9,10,12,12,16,10,7,10,8,12,15,11,18,23,28,22,28,17,17,7341
247,类别1,753,600,385,94,209,84,57,74,80,65,72,77,89,80,75,53,62,57,66,70,58,69,49,56,60,40,31,40,37,41,35,35,35,40,51,7,9,14,5,6,8,11,14,8,12,23,25,16,16,24,25,24,24,18,14,7506
250,类别1,765,608,416,91,199,85,71,78,74,81,67,88,71,89,61,68,62,53,80,58,65,50,59,50,63,48,54,35,34,46,55,40,30,39,35,3,15,5,8,5,12,13,7,13,10,21,18,18,20,21,17,24,25,16,19,7540
266,类别1,752,600,416,107,215,74,66,69,72,91,100,68,73,74,65,58,54,63,66,65,53,68,71,53,49,52,31,37,50,30,36,50,38,44,48,11,10,11,10,12,16,16,7,7,7,18,18,21,25,20,24,16,33,14,26,7925
267,类别1,744,602,409,90,209,86,77,91,82,73,65,70,84,56,60,54,53,59,75,71,52,56,63,53,66,51,37,44,45,38,42,41,29,36,46,8,9,12,12,7,7,9,9,8,9,16,21,28,17,25,18,18,20,23,23,8022
270,类别1,764,628,412,113,205,75,68,71,79,81,93,79,68,73,77,67,55,54,58,53,63,58,75,69,76,43,48,42,34,45,26,45,31,48,50,13,8,16,17,9,9,11,7,12,11,24,25,16,16,26,22,21,21,20,14,8090
276,类别1,758,564,402,109,161,79,74,75,82,67,63,83,78,64,93,55,56,58,60,66,48,55,49,61,56,51,41,38,31,30,35,48,54,34,40,16,11,15,11,6,12,8,15,6,9,14,15,19,13,18,17,18,12,16,19,8402
277,类别1,768,585,365,84,196,77,66,88,93,71,91,80,64,69,69,62,54,62,65,50,54,66,51,57,64,36,44,30,35,39,37,33,38,37,36,6,10,9,11,11,4,12,7,8,6,16,14,14,21,21,21,20,17,28,24,8412
279,类别1,783,596,458,110,210,83,87,68,74,81,73,89,72,78,78,54,52,60,54,70,55,59,63,62,67,46,42,43,48,31,44,45,62,44,53,15,16,9,13,6,6,9,11,18,7,17,19,23,27,17,20,31,17,16,23,8514
286,类别1,741,631,389,102,195,70,71,74,80,66,84,76,82,71,67,62,70,62,73,54,54,64,72,63,57,41,42,41,48,29,39,39,34,32,44,11,6,13,11,13,5,11,9,8,15,23,22,18,13,26,21,17,21,16,18,8844
288,类别1,775,611,437,100,185,71,66,68,75,80,92,93,66,77,87,53,69,58,69,62,70,46,56,66,62,52,47,40,51,49,43,42,33,45,35,11,4,16,9,12,6,14,11,9,8,13,17,17,23,23,18,14,18,20,22,8900
291,类别1,779,618,414,107,188,71,86,84,81,80,81,71,71,80,74,57,58,66,62,59,56,62,56,71,71,35,44,50,41,44,50,34,42,37,37,13,12,12,7,9,14,10,8,13,9,12,19,28,27,16,15,19,23,12,17,9045
306,类别1,771,591,380,88,201,72,74,67,88,84,82,68,87,75,74,58,65,65,63,48,47,60,62,57,66,39,37,39,46,44,29,36,41,39,30,10,9,10,5,7,9,9,8,10,11,19,20,12,24,15,18,24,23,23,23,9383
307,类别1,766,603,428,85,198,84,87,82,67,68,82,82,77,78,59,64,54,48,66,68,53,64,55,67,64,40,52,37,38,56,34,48,41,44,38,5,6,10,17,8,9,4,8,8,10,21,20,21,21,20,15,24,12,18,26,9439
312,类别1,730,599,422,103,203,79,67,57,74,79,77,64,76,89,68,68,69,56,46,62,72,58,63,56,49,43,47,50,32,46,39,43,45,40,37,13,7,8,12,15,14,8,10,10,6,19,18,17,24,24,16,18,27,22,18,9540
314,类别1,768,621,419,103,194,80,83,74,73,75,97,63,76,74,73,75,53,58,58,64,44,78,66,63,62,46,47,35,37,41,45,35,47,53,33,5,10,13,9,12,9,10,9,19,7,23,15,16,29,16,17,8,18,19,33,9572
319,类别1,785,601,393,99,196,74,64,83,85,79,78,75,89,77,81,73,50,66,57,53,56,66,64,54,62,37,38,40,33,32,41,29,48,45,50,18,7,12,4,10,11,4,5,12,16,12,24,29,21,14,17,24,19,18,18,9775
324,类别1,771,588,383,96,194,80,91,65,68,74,61,83,83,84,82,66,58,68,66,41,66,47,67,53,56,39,46,39,46,33,33,45,25,38,39,11,12,11,7,8,10,7,5,10,15,19,22,24,18,17,19,16,19,19,21,9960
325,类别1,756,628,414,100,190,87,72,69,67,86,66,87,64,80,78,56,63,64,58,73,51,53,67,77,66,43,40,46,42,38,42,42,35,41,45,11,6,8,13,7,17,7,12,10,9,19,17,20,16,18,21,19,19,25,16,9986
329,类别1,774,625,414,105,176,83,73,66,79,65,75,83,99,76,75,65,61,72,70,60,63,70,50,56,58,47,41,45,40,37,37,42,49,42,34,13,7,17,16,4,9,9,12,5,13,24,21,21,15,15,14,19,12,16,19,10020
330,类别1,782,612,406,102,230,91,70,75,71,89,84,85,74,65,78,57,71,59,64,69,61,50,48,63,70,43,43,42,39,43,47,35,34,42,38,12,12,3,9,7,11,9,12,15,12,24,19,22,19,25,19,27,22,25,28,10053
340,类别1,769,596,408,102,189,63,87,92,81,73,72,84,85,73,59,63,58,64,62,53,55,54,58,65,64,49,39,35,49,48,38,39,39,38,34,12,10,9,10,13,12,11,9,8,8,15,10,22,22,16,20,24,16,27,17,10330
345,类别1,762,584,397,102,150,60,71,81,78,96,76,71,80,76,73,63,56,54,70,57,47,66,56,72,43,45,44,30,45,39,37,27,38,48,44,15,14,11,7,7,11,11,9,8,9,12,14,20,16,13,11,17,16,15,16,10605
346,类别1,754,565,407,92,194,49,89,89,59,85,87,76,63,86,71,62,51,51,60,48,51,53,79,50,60,33,32,37,44,40,42,59,38,45,37,16,6,12,12,7,6,11,8,6,8,8,19,15,11,25,25,20,21,22,28,10620
347,类别1,776,587,386,105,199,81,94,89,80,81,65,78,70,72,66,55,49,57,54,61,68,59,70,65,49,41,51,43,44,36,24,39,27,35,46,12,9,12,4,7,7,11,20,16,7,25,27,14,23,19,18,17,13,23,20,10659
351,类别1,774,595,403,98,228,79,90,85,76,72,67,81,81,76,67,47,60,57,71,56,59,59,61,60,65,37,43,39,47,41,32,45,39,41,39,12,10,5,8,10,14,6,10,11,12,23,20,14,24,23,26,23,32,21,22,10960
365,类别1,763,574,407,96,218,79,72,78,65,64,83,91,75,77,79,69,56,64,57,48,57,64,47,53,59,42,55,40,40,34,47,36,37,36,40,17,11,7,12,9,9,7,7,9,8,21,27,18,24,19,26,24,21,16,22,11383
369,类别1,741,571,399,94,206,71,91,74,76,71,71,74,78,68,67,58,44,55,50,55,54,71,63,64,57,58,35,36,40,34,41,35,40,40,40,9,8,10,12,11,9,6,8,12,9,10,30,26,17,27,17,18,23,18,20,11579
372,类别1,771,620,376,112,205,88,82,70,70,75,75,74,74,91,72,68,56,57,53,62,72,65,66,64,57,43,30,35,42,39,39,34,39,44,31,14,4,13,16,9,15,5,10,13,13,16,21,18,17,26,21,21,22,22,21,11713
380,类别1,785,598,406,77,175,74,83,80,76,89,79,65,76,81,82,55,56,60,64,51,65,52,65,73,57,49,34,34,41,40,48,49,45,33,33,8,12,7,7,4,7,8,7,9,8,25,17,16,14,15,21,15,20,16,16,11869
381,类别1,767,575,409,113,211,83,68,86,72,64,82,81,67,80,84,54,63,72,49,53,54,49,61,58,62,30,44,34,44,40,47,48,40,41,41,8,13,17,13,11,8,9,13,15,6,27,21,23,20,14,21,24,20,22,19,11914
387,类别1,786,605,393,81,175,69,76,87,72,69,83,85,79,83,83,61,60,71,58,61,69,66,62,47,50,36,36,35,50,54,38,29,40,44,31,7,7,8,10,10,7,5,7,14,6,23,23,14,14,14,19,20,19,18,11,12057
389,类别1,779,597,399,103,207,71,79,79,79,86,91,73,71,74,76,63,64,64,46,53,56,56,65,53,77,32,45,36,50,45,36,34,41,39,41,15,10,8,6,9,10,11,8,14,12,23,15,21,18,28,20,18,18,20,26,12075
391,类别1,767,613,403,92,183,75,79,89,86,81,71,77,76,63,70,58,49,66,60,75,59,67,59,65,55,34,34,40,34,60,46,43,31,35,46,8,5,12,12,13,6,6,12,9,9,15,26,18,20,14,18,19,19,14,20,12103
398,类别1,776,602,390,95,209,83,83,64,78,84,85,67,80,75,77,55,74,53,51,72,65,51,58,61,62,38,42,46,36,35,35,37,44,44,33,16,7,3,11,10,14,11,5,6,12,21,26,30,16,16,21,18,19,19,23,12375
407,类别1,772,584,390,98,205,87,69,87,76,77,77,66,79,83,71,66,61,70,49,64,55,48,50,61,60,41,40,34,40,43,37,42,37,48,28,13,8,8,9,12,15,16,8,6,3,24,27,27,14,20,19,17,24,19,14,12670
409,类别1,757,579,394,106,216,63,77,78,70,78,83,72,92,67,77,58,66,50,52,52,50,59,65,63,64,38,32,39,45,38,34,44,36,50,38,9,10,9,7,9,12,11,13,15,11,23,19,20,20,23,23,14,26,22,26,12685
411,类别1,788,602,406,103,197,83,70,72,76,80,90,64,81,92,80,54,71,59,56,58,52,66,66,60,60,51,41,33,36,36,48,33,47,41,40,12,2,9,17,12,12,13,9,7,10,25,14,17,21,23,24,17,10,17,29,12928
415,类别1,768,612,393,104,206,82,72,71,77,81,71,70,92,82,70,62,53,66,61,65,44,65,77,66,53,39,38,35,40,35,37,33,40,54,42,3,8,12,7,13,15,13,11,12,10,17,16,24,30,11,18,23,21,19,27,13043
417,类别1,779,603,393,92,196,90,70,71,77,77,88,93,63,78,72,65,58,49,78,72,48,62,72,49,50,57,37,41,36,29,46,23,41,35,48,8,10,10,11,9,10,9,9,7,9,15,21,16,21,15,12,24,28,21,23,13090
429,类别1,753,573,432,81,210,60,86,77,76,72,76,75,64,85,82,59,66,50,72,50,55,49,58,51,63,52,47,39,37,39,34,45,44,56,39,6,8,11,6,11,5,10,10,8,6,14,19,22,21,22,24,22,20,30,16,13489
430,类别1,743,581,403,96,217,78,67,72,66,75,83,82,70,84,66,68,65,44,61,56,59,55,70,57,46,42,32,52,39,36,51,36,42,40,33,11,9,10,6,15,13,11,8,7,6,20,23,17,22,19,17,13,20,33,33,13504
431,类别1,774,612,399,116,186,74,83,60,94,86,71,77,75,76,78,50,62,66,65,57,58,70,63,64,57,46,34,50,41,50,33,32,29,38,46,13,13,10,12,15,11,9,11,14,8,23,24,23,16,16,15,23,13,10,23,13509
437,类别1,749,597,401,113,211,76,61,81,81,73,87,71,78,73,68,55,70,59,64,50,51,56,75,61,56,32,46,41,42,36,39,30,42,49,44,13,12,11,9,5,14,13,9,13,14,21,18,29,23,18,24,14,20,17,27,13761
440,类别1,768,598,395,102,190,73,67,86,83,79,61,76,72,81,90,70,62,46,68,52,62,63,58,60,57,40,37,43,39,33,39,48,38,45,33,7,10,11,8,8,10,9,11,16,12,22,12,23,20,18,17,21,16,16,25,13830
444,类别1,777,595,422,94,189,75,67,79,95,86,63,72,80,83,77,61,46,75,57,58,63,59,59,48,69,49,42,51,35,44,29,35,48,51,38,14,11,9,4,7,9,7,14,5,14,22,16,24,21,20,19,15,20,10,22,14093
445,类别1,775,600,400,104,201,87,81,98,69,84,64,67,83,80,62,64,60,62,62,52,55,59,58,64,64,43,38,43,38,54,42,30,41,39,32,12,11,14,15,3,9,6,8,13,13,23,22,17,23,24,16,15,24,20,17,14096
450,类别1,778,613,394,94,234,76,70,86,88,69,92,61,94,64,78,69,59,64,54,77,56,67,56,52,59,33,36,39,42,45,36,41,39,45,38,12,10,10,4,6,11,7,12,13,9,19,17,27,22,27,33,30,12,31,16,14164
451,类别1,766,606,424,97,209,75,73,78,80,81,78,67,78,83,73,49,63,60,71,56,76,52,56,48,75,44,40,43,49,45,40,41,34,46,42,8,14,11,7,14,8,12,8,8,7,20,27,20,22,16,18,26,21,19,20,14177
457,类别1,777,591,428,94,190,74,79,84,88,74,67,86,74,83,68,57,60,56,65,65,63,53,48,65,59,39,55,43,45,40,42,44,42,43,35,7,10,7,10,15,9,9,6,13,8,23,20,16,21,17,17,14,15,24,23,14370
458,类别1,785,602,406,101,226,71,59,88,81,69,95,77,82,80,83,81,58,52,51,50,52,56,66,69,67,43,45,43,43,43,33,37,38,45,36,12,9,9,11,11,8,10,9,7,15,15,23,17,20,22,27,25,20,33,24,14376
466,类别1,760,617,397,104,195,83,83,67,70,56,83,82,83,70,83,64,53,68,59,55,49,61,76,58,74,42,38,38,41,33,33,32,47,50,43,13,17,8,12,10,8,14,8,9,5,18,21,16,18,16,21,24,13,28,20,14855
478,类别1,766,611,383,92,204,71,85,67,79,83,77,68,79,73,84,66,57,72,58,69,56,61,64,52,56,43,38,48,34,35,29,41,40,36,39,10,11,9,13,17,7,4,6,8,7,25,23,16,20,19,23,17,23,18,20,15146
480,类别1,759,591,425,103,202,82,68,79,80,63,65,77,79,78,88,55,60,51,68,61,58,54,54,63,67,39,53,33,46,47,50,43,44,35,35,9,9,7,13,10,10,13,10,13,9,13,16,30,20,24,19,19,22,16,23,15192
487,类别1,769,604,399,88,175,63,64,82,77,77,77,92,72,100,65,57,62,64,57,61,59,72,54,50,68,33,44,45,37,45,37,36,42,41,39,6,6,13,11,5,10,7,7,12,11,21,14,16,21,23,13,14,19,16,18,15324
494,类别1,758,641,418,92,208,68,97,74,84,65,67,72,68,81,82,57,67,67,59,55,61,64,75,71,65,37,49,34,39,42,46,47,37,49,38,8,5,11,12,11,15,8,8,6,8,20,15,19,18,24,23,25,18,19,27,15433
496,类别1,777,591,396,111,197,88,67,61,92,82,77,90,63,82,75,53,53,62,57,62,66,57,61,63,57,48,37,35,44,56,30,38,30,24,54,14,14,13,11,14,8,6,9,14,8,17,18,17,22,21,19,21,16,26,20,15462
505,类别1,763,575,424,93,217,78,68,75,88,76,62,89,67,77,83,48,47,59,61,55,57,69,60,51,68,43,35,42,37,46,41,46,53,37,44,8,12,8,5,6,11,17,8,10,8,25,21,23,19,22,28,29,17,16,17,15753
509,类别1,767,592,399,93,210,78,74,94,71,71,76,73,76,79,75,64,52,58,63,67,64,68,55,46,55,38,40,42,31,36,45,47,37,50,33,11,7,9,10,9,9,11,6,10,11,26,20,17,17,25,18,22,21,18,26,15952
512,类别1,760,610,411,117,192,71,71,74,78,70,73,85,87,88,63,56,60,57,60,50,65,54,66,65,77,40,38,44,44,36,44,38,43,43,41,8,8,8,14,14,14,14,10,12,15,21,21,16,17,25,24,15,13,24,16,15979
514,类别1,770,623,423,118,196,70,72,82,70,78,72,83,86,88,69,65,57,64,61,65,59,55,55,70,72,52,43,40,45,46,41,37,36,43,40,14,10,16,13,13,12,9,12,5,14,22,15,28,14,21,18,15,21,17,25,16057
516,类别1,747,604,397,91,187,79,76,82,79,77,67,76,70,82,59,51,58,62,63,56,60,65,60,64,65,33,52,45,42,39,37,40,44,34,31,10,9,5,9,7,9,9,9,12,12,12,15,17,26,25,21,24,18,15,14,16109
517,类别1,777,618,405,80,197,89,73,76,67,85,71,61,76,83,96,71,52,54,55,67,61,64,69,58,67,30,36,42,50,51,42,36,34,40,44,8,12,5,9,5,8,8,5,4,16,22,13,25,16,22,19,21,28,15,16,16115
519,类别1,770,602,422,98,198,75,69,78,72,73,83,71,80,84,85,68,53,68,51,64,51,60,65,61,61,39,36,50,45,41,48,40,47,39,37,4,12,10,14,8,11,8,13,7,11,15,22,23,14,19,21,26,13,30,15,16201
521,类别1,756,632,409,111,180,66,74,71,78,84,87,69,91,81,55,64,56,59,81,75,61,43,58,71,64,40,41,46,38,46,31,42,35,51,39,10,11,16,13,9,8,11,15,8,10,21,14,13,19,14,22,18,17,21,21,16217
525,类别1,781,593,396,89,214,83,83,79,71,71,76,71,78,99,70,50,52,60,70,64,61,51,54,65,66,36,33,46,34,37,40,31,56,40,43,15,11,6,9,9,10,9,2,9,9,14,23,18,15,29,21,18,23,28,25,16319
530,类别1,775,607,395,109,185,80,69,74,75,88,78,76,82,80,73,71,65,59,73,59,65,61,46,58,50,24,47,36,43,38,38,31,42,45,51,8,20,12,10,9,9,7,11,12,11,18,19,23,22,23,15,16,15,18,16,16592
532,类别1,748,604,397,96,213,74,68,78,82,71,84,64,81,74,72,70,48,64,61,69,71,59,47,60,55,43,45,35,35,38,43,41,39,41,37,4,11,16,11,6,16,10,5,7,10,20,25,21,17,21,30,14,23,23,19,16638
535,类别1,750,613,397,107,189,60,81,77,70,79,60,86,75,73,89,60,58,53,60,63,68,72,62,43,74,38,40,44,37,42,40,37,37,51,31,8,14,14,11,11,11,14,10,6,8,19,17,12,17,15,19,20,20,29,21,16742
537,类别1,774,604,412,92,189,87,80,89,75,74,85,74,63,75,72,58,68,61,49,54,54,55,62,68,75,42,35,34,31,43,40,46,47,43,51,5,8,9,9,10,11,9,8,8,15,19,25,24,12,20,14,16,21,28,10,16753
551,类别1,772,610,441,106,201,77,81,86,93,63,79,86,61,67,79,62,64,49,55,63,71,69,62,64,51,44,41,50,50,52,47,40,29,45,43,10,10,6,15,11,5,11,18,11,9,19,20,19,17,20,21,20,25,16,24,17063
553,类别1,771,627,419,97,204,74,68,67,80,96,67,88,81,76,74,71,62,58,54,55,68,75,59,69,56,39,34,36,51,29,51,50,47,37,45,8,13,10,14,8,7,14,10,5,8,21,25,15,16,19,16,16,30,23,23,17173
